"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,
"Voters Registered as of November 1, 2018",,,,,,,,,,,,,
New York  County,,,,,,,,,,,,,
,,,,,,,,,,,,,
COUNTY,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
New York ,New York 75025,Active,590,63,1,1,0,23,0,0,0,112,790
New York ,New York 75025,Inactive,94,3,0,0,1,5,0,0,0,23,126
New York ,New York 75025,Total,684,66,1,1,1,28,0,0,0,135,916
,,,,,,,,,,,,,
New York ,New York 75026,Active,537,46,0,4,0,27,1,0,0,136,751
New York ,New York 75026,Inactive,63,4,0,0,1,3,0,0,0,25,96
New York ,New York 75026,Total,600,50,0,4,1,30,1,0,0,161,847
,,,,,,,,,,,,,
New York ,New York 75027,Active,305,62,1,1,0,9,0,0,1,97,476
New York ,New York 75027,Inactive,31,3,0,0,0,7,0,0,0,23,64
New York ,New York 75027,Total,336,65,1,1,0,16,0,0,1,120,540
,,,,,,,,,,,,,
New York ,New York 75028,Active,666,106,3,1,1,30,0,0,0,254,"1,061"
New York ,New York 75028,Inactive,117,25,1,1,0,9,0,0,0,38,191
New York ,New York 75028,Total,783,131,4,2,1,39,0,0,0,292,"1,252"
,,,,,,,,,,,,,
New York ,New York 75029,Active,618,173,1,4,1,32,0,0,1,323,"1,153"
New York ,New York 75029,Inactive,145,69,1,2,0,17,0,0,1,81,316
New York ,New York 75029,Total,763,242,2,6,1,49,0,0,2,404,"1,469"
,,,,,,,,,,,,,
New York ,New York 75030,Active,446,130,0,1,1,24,0,0,1,213,816
New York ,New York 75030,Inactive,74,30,0,0,0,10,0,0,0,41,155
New York ,New York 75030,Total,520,160,0,1,1,34,0,0,1,254,971
,,,,,,,,,,,,,
New York ,New York 75031,Active,652,112,2,0,1,38,0,0,2,221,"1,028"
New York ,New York 75031,Inactive,162,37,1,0,0,22,0,0,0,57,279
New York ,New York 75031,Total,814,149,3,0,1,60,0,0,2,278,"1,307"
,,,,,,,,,,,,,
New York ,New York 75032,Active,609,125,2,5,1,45,0,0,2,223,"1,012"
New York ,New York 75032,Inactive,125,45,0,1,0,13,0,0,1,70,255
New York ,New York 75032,Total,734,170,2,6,1,58,0,0,3,293,"1,267"
,,,,,,,,,,,,,
New York ,New York 75033,Active,562,201,4,0,1,43,0,0,1,282,"1,094"
New York ,New York 75033,Inactive,95,43,1,0,0,9,0,0,0,40,188
New York ,New York 75033,Total,657,244,5,0,1,52,0,0,1,322,"1,282"
,,,,,,,,,,,,,
New York ,New York 75034,Active,615,124,3,9,2,47,3,0,1,226,"1,030"
New York ,New York 75034,Inactive,110,14,1,0,3,6,0,0,0,31,165
New York ,New York 75034,Total,725,138,4,9,5,53,3,0,1,257,"1,195"
,,,,,,,,,,,,,
New York ,New York 75035,Active,335,93,0,3,2,24,0,0,2,173,632
New York ,New York 75035,Inactive,108,43,2,0,0,11,0,0,2,63,229
New York ,New York 75035,Total,443,136,2,3,2,35,0,0,4,236,861
,,,,,,,,,,,,,
New York ,New York 75036,Active,647,129,1,2,4,28,0,0,2,280,"1,093"
New York ,New York 75036,Inactive,121,52,0,1,0,9,0,0,0,72,255
New York ,New York 75036,Total,768,181,1,3,4,37,0,0,2,352,"1,348"
,,,,,,,,,,,,,
New York ,New York 75037,Active,675,89,0,3,1,36,0,0,0,206,"1,010"
New York ,New York 75037,Inactive,146,25,0,0,1,17,0,0,0,54,243
New York ,New York 75037,Total,821,114,0,3,2,53,0,0,0,260,"1,253"
,,,,,,,,,,,,,
New York ,New York 75038,Active,401,49,1,3,0,25,0,0,0,79,558
New York ,New York 75038,Inactive,19,1,0,0,0,0,0,0,0,8,28
New York ,New York 75038,Total,420,50,1,3,0,25,0,0,0,87,586
,,,,,,,,,,,,,
New York ,New York 75039,Active,497,68,2,3,0,23,1,0,1,180,775
New York ,New York 75039,Inactive,88,9,0,1,1,5,0,0,0,31,135
New York ,New York 75039,Total,585,77,2,4,1,28,1,0,1,211,910
,,,,,,,,,,,,,
New York ,New York 75040,Active,611,58,2,2,3,20,0,0,0,159,855
New York ,New York 75040,Inactive,59,8,0,0,1,3,0,0,0,14,85
New York ,New York 75040,Total,670,66,2,2,4,23,0,0,0,173,940
,,,,,,,,,,,,,
New York ,New York 75041,Active,702,60,0,1,4,18,0,0,0,157,942
New York ,New York 75041,Inactive,68,8,1,0,0,3,0,0,1,16,97
New York ,New York 75041,Total,770,68,1,1,4,21,0,0,1,173,"1,039"
,,,,,,,,,,,,,
New York ,New York 75042,Active,464,106,2,3,0,19,0,1,0,197,792
New York ,New York 75042,Inactive,74,24,1,0,0,7,0,0,0,29,135
New York ,New York 75042,Total,538,130,3,3,0,26,0,1,0,226,927
,,,,,,,,,,,,,
New York ,New York 75043,Active,864,66,1,3,2,17,0,0,1,103,"1,057"
New York ,New York 75043,Inactive,51,10,0,0,0,1,0,0,0,13,75
New York ,New York 75043,Total,915,76,1,3,2,18,0,0,1,116,"1,132"
,,,,,,,,,,,,,
New York ,New York 75044,Active,466,42,5,5,4,11,0,0,0,112,645
New York ,New York 75044,Inactive,33,2,0,0,0,0,0,0,0,6,41
New York ,New York 75044,Total,499,44,5,5,4,11,0,0,0,118,686
,,,,,,,,,,,,,
New York ,New York 75045,Active,716,81,0,3,10,31,2,1,1,177,"1,022"
New York ,New York 75045,Inactive,143,14,1,2,2,8,1,0,0,41,212
New York ,New York 75045,Total,859,95,1,5,12,39,3,1,1,218,"1,234"
,,,,,,,,,,,,,
New York ,New York 75046,Active,388,58,2,0,0,24,0,0,1,133,606
