"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,
"Voters Registered as of November 1, 2018",,,,,,,,,,,,,
Queens  County,,,,,,,,,,,,,
,,,,,,,,,,,,,
COUNTY,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Queens ,Queens 32018,Total,782,94,3,2,7,22,1,0,0,223,"1,134"
,,,,,,,,,,,,,
Queens ,Queens 32019,Active,672,70,2,4,1,18,1,0,0,208,976
Queens ,Queens 32019,Inactive,32,2,0,0,0,0,0,0,0,9,43
Queens ,Queens 32019,Total,704,72,2,4,1,18,1,0,0,217,"1,019"
,,,,,,,,,,,,,
Queens ,Queens 32020,Active,736,89,1,1,5,19,2,0,0,212,"1,065"
Queens ,Queens 32020,Inactive,26,5,0,0,0,2,0,0,0,8,41
Queens ,Queens 32020,Total,762,94,1,1,5,21,2,0,0,220,"1,106"
,,,,,,,,,,,,,
Queens ,Queens 32021,Active,734,64,2,2,3,21,0,3,0,182,"1,011"
Queens ,Queens 32021,Inactive,25,0,0,0,0,1,0,0,0,4,30
Queens ,Queens 32021,Total,759,64,2,2,3,22,0,3,0,186,"1,041"
,,,,,,,,,,,,,
Queens ,Queens 32022,Active,697,32,6,1,2,13,1,0,0,134,886
Queens ,Queens 32022,Inactive,72,3,0,0,2,2,0,0,0,10,89
Queens ,Queens 32022,Total,769,35,6,1,4,15,1,0,0,144,975
,,,,,,,,,,,,,
Queens ,Queens 32023,Active,802,25,3,2,2,26,0,0,0,146,"1,006"
Queens ,Queens 32023,Inactive,77,5,0,0,0,2,0,0,0,10,94
Queens ,Queens 32023,Total,879,30,3,2,2,28,0,0,0,156,"1,100"
,,,,,,,,,,,,,
Queens ,Queens 32024,Active,597,33,0,0,2,15,3,0,0,135,785
Queens ,Queens 32024,Inactive,52,1,0,0,2,1,0,0,0,4,60
Queens ,Queens 32024,Total,649,34,0,0,4,16,3,0,0,139,845
,,,,,,,,,,,,,
Queens ,Queens 32025,Active,867,24,1,3,5,11,1,0,0,178,"1,090"
Queens ,Queens 32025,Inactive,75,3,0,0,1,3,0,0,0,12,94
Queens ,Queens 32025,Total,942,27,1,3,6,14,1,0,0,190,"1,184"
,,,,,,,,,,,,,
Queens ,Queens 32026,Active,732,22,0,1,6,16,3,0,0,91,871
Queens ,Queens 32026,Inactive,60,3,0,0,0,1,0,0,0,6,70
Queens ,Queens 32026,Total,792,25,0,1,6,17,3,0,0,97,941
,,,,,,,,,,,,,
Queens ,Queens 32027,Active,809,21,1,1,4,16,0,0,0,127,979
Queens ,Queens 32027,Inactive,34,2,0,0,0,0,0,0,0,9,45
Queens ,Queens 32027,Total,843,23,1,1,4,16,0,0,0,136,"1,024"
,,,,,,,,,,,,,
Queens ,Queens 32028,Active,864,31,1,1,1,18,0,0,0,151,"1,067"
Queens ,Queens 32028,Inactive,42,4,0,0,1,2,0,0,0,7,56
Queens ,Queens 32028,Total,906,35,1,1,2,20,0,0,0,158,"1,123"
,,,,,,,,,,,,,
Queens ,Queens 32029,Active,863,33,1,2,6,19,0,0,0,158,"1,082"
Queens ,Queens 32029,Inactive,55,3,0,0,0,2,0,0,0,8,68
Queens ,Queens 32029,Total,918,36,1,2,6,21,0,0,0,166,"1,150"
,,,,,,,,,,,,,
Queens ,Queens 32030,Active,852,24,0,2,4,17,1,0,0,156,"1,056"
Queens ,Queens 32030,Inactive,46,1,0,0,0,3,0,0,0,13,63
Queens ,Queens 32030,Total,898,25,0,2,4,20,1,0,0,169,"1,119"
,,,,,,,,,,,,,
Queens ,Queens 32031,Active,868,50,1,1,5,16,0,0,0,204,"1,145"
Queens ,Queens 32031,Inactive,56,2,1,0,0,1,0,0,0,9,69
Queens ,Queens 32031,Total,924,52,2,1,5,17,0,0,0,213,"1,214"
,,,,,,,,,,,,,
Queens ,Queens 32032,Active,776,62,5,1,2,11,1,3,0,210,"1,071"
Queens ,Queens 32032,Inactive,51,8,0,0,0,0,0,0,0,14,73
Queens ,Queens 32032,Total,827,70,5,1,2,11,1,3,0,224,"1,144"
,,,,,,,,,,,,,
Queens ,Queens 32033,Active,910,38,2,2,2,21,1,0,0,152,"1,128"
Queens ,Queens 32033,Inactive,67,4,1,0,2,4,0,0,0,10,88
Queens ,Queens 32033,Total,977,42,3,2,4,25,1,0,0,162,"1,216"
,,,,,,,,,,,,,
Queens ,Queens 32034,Active,856,25,1,1,2,26,0,0,0,163,"1,074"
Queens ,Queens 32034,Inactive,80,3,0,0,0,0,0,0,0,10,93
Queens ,Queens 32034,Total,936,28,1,1,2,26,0,0,0,173,"1,167"
,,,,,,,,,,,,,
Queens ,Queens 32035,Active,836,27,3,0,4,14,0,0,0,146,"1,030"
Queens ,Queens 32035,Inactive,94,2,0,0,2,3,0,0,0,15,116
Queens ,Queens 32035,Total,930,29,3,0,6,17,0,0,0,161,"1,146"
,,,,,,,,,,,,,
Queens ,Queens 32036,Active,842,26,1,2,4,20,1,0,0,147,"1,043"
Queens ,Queens 32036,Inactive,40,1,0,0,0,1,0,0,0,6,48
Queens ,Queens 32036,Total,882,27,1,2,4,21,1,0,0,153,"1,091"
,,,,,,,,,,,,,
Queens ,Queens 32037,Active,816,39,3,1,2,15,0,0,0,106,982
Queens ,Queens 32037,Inactive,54,2,0,0,0,0,0,0,0,11,67
Queens ,Queens 32037,Total,870,41,3,1,2,15,0,0,0,117,"1,049"
,,,,,,,,,,,,,
Queens ,Queens 32038,Active,914,36,0,2,2,21,1,0,0,128,"1,104"
Queens ,Queens 32038,Inactive,56,3,0,0,0,2,0,0,0,8,69
Queens ,Queens 32038,Total,970,39,0,2,2,23,1,0,0,136,"1,173"
,,,,,,,,,,,,,
