"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,
"Voters Registered as of February 1, 2019",,,,,,,,,,,,,
New York  County,,,,,,,,,,,,,
,,,,,,,,,,,,,
COUNTY,ELECTION DIST,STATUS,DEM,REP,CON,WOR,GRE,LBT,IND,SAM,OTH,BLANK,TOTAL
New York ,New York 74071,Total,488,69,1,2,2,1,27,0,0,210,800
,,,,,,,,,,,,,
New York ,New York 74072,Active,330,52,2,1,2,1,14,0,0,128,530
New York ,New York 74072,Inactive,80,18,0,0,0,0,9,0,0,30,137
New York ,New York 74072,Total,410,70,2,1,2,1,23,0,0,158,667
,,,,,,,,,,,,,
New York ,New York 74073,Active,608,108,0,1,1,0,20,0,0,229,967
New York ,New York 74073,Inactive,85,33,0,0,0,0,10,0,0,36,164
New York ,New York 74073,Total,693,141,0,1,1,0,30,0,0,265,"1,131"
,,,,,,,,,,,,,
New York ,New York 74074,Active,632,85,3,2,1,1,17,0,0,124,865
New York ,New York 74074,Inactive,51,14,0,1,0,1,1,0,0,17,85
New York ,New York 74074,Total,683,99,3,3,1,2,18,0,0,141,950
,,,,,,,,,,,,,
New York ,New York 74075,Active,565,90,1,0,1,1,28,0,0,132,818
New York ,New York 74075,Inactive,39,13,0,0,0,0,3,0,0,11,66
New York ,New York 74075,Total,604,103,1,0,1,1,31,0,0,143,884
,,,,,,,,,,,,,
New York ,New York 74076,Active,780,65,2,1,2,1,28,0,0,166,"1,045"
New York ,New York 74076,Inactive,89,8,0,0,0,0,3,0,0,30,130
New York ,New York 74076,Total,869,73,2,1,2,1,31,0,0,196,"1,175"
,,,,,,,,,,,,,
New York ,New York 74077,Active,670,96,2,3,1,0,21,0,0,201,994
New York ,New York 74077,Inactive,60,21,0,0,0,0,6,0,0,25,112
New York ,New York 74077,Total,730,117,2,3,1,0,27,0,0,226,"1,106"
,,,,,,,,,,,,,
New York ,New York 74078,Active,596,88,1,2,0,0,23,0,1,162,873
New York ,New York 74078,Inactive,75,26,0,0,1,0,4,0,0,39,145
New York ,New York 74078,Total,671,114,1,2,1,0,27,0,1,201,"1,018"
,,,,,,,,,,,,,
New York ,New York 74079,Active,448,63,0,0,1,1,25,0,0,134,672
New York ,New York 74079,Inactive,76,22,0,0,0,0,8,0,0,33,139
New York ,New York 74079,Total,524,85,0,0,1,1,33,0,0,167,811
,,,,,,,,,,,,,
New York ,New York 74080,Active,387,56,2,1,1,1,17,0,0,130,595
New York ,New York 74080,Inactive,69,15,0,0,0,0,2,0,0,21,107
New York ,New York 74080,Total,456,71,2,1,1,1,19,0,0,151,702
,,,,,,,,,,,,,
New York ,New York 74081,Active,340,41,0,3,1,0,20,0,1,124,530
New York ,New York 74081,Inactive,193,40,3,2,1,1,5,0,0,66,311
New York ,New York 74081,Total,533,81,3,5,2,1,25,0,1,190,841
,,,,,,,,,,,,,
New York ,New York 74082,Active,375,67,1,0,1,0,18,0,0,127,589
New York ,New York 74082,Inactive,61,13,0,1,0,1,1,0,0,37,114
New York ,New York 74082,Total,436,80,1,1,1,1,19,0,0,164,703
,,,,,,,,,,,,,
New York ,New York 74083,Active,497,75,1,2,4,1,21,0,0,130,731
New York ,New York 74083,Inactive,83,23,1,0,0,0,6,0,0,31,144
New York ,New York 74083,Total,580,98,2,2,4,1,27,0,0,161,875
,,,,,,,,,,,,,
New York ,New York 74084,Active,428,155,0,0,1,0,32,0,0,253,869
New York ,New York 74084,Inactive,82,53,0,0,0,0,3,0,0,54,192
New York ,New York 74084,Total,510,208,0,0,1,0,35,0,0,307,"1,061"
,,,,,,,,,,,,,
New York ,New York 74085,Active,194,50,1,0,0,0,19,0,0,68,332
New York ,New York 74085,Inactive,40,18,0,0,0,0,4,0,0,18,80
New York ,New York 74085,Total,234,68,1,0,0,0,23,0,0,86,412
,,,,,,,,,,,,,
