KEY,06-26-2018,09-13-2018,02-26-2019,06-25-2019,under_30,under_60,new_voter,four_x,four_x_under_30,four_x_under_60,skipped_patel,age_in_02-26-2019,age_in_06-25-2019,age_in_09-13-2018,age_in_06-26-2018
36049,83,130,77,132,36,156,28,31,5,26,61,41.60753246753245,40.33219696969696,40.9923846153846,42.92819277108434
36052,130,178,102,173,29,199,20,49,4,39,65,44.95254901960785,43.323410404624276,44.181179775280896,43.656923076923086
36064,81,126,79,141,40,163,34,29,3,24,63,45.236455696202526,41.45255319148936,44.195714285714295,41.748888888888885
36065,25,33,21,40,15,48,8,9,4,7,15,39.294761904761906,38.04125,38.43999999999999,40.3168
36066,63,87,50,88,27,112,19,24,3,23,36,41.07739999999998,38.03284090909092,40.8116091954023,39.121428571428574
36072,91,132,85,140,26,137,25,44,3,26,54,49.10400000000001,46.858000000000004,46.75386363636365,47.81219780219782
36073,120,173,100,169,48,203,28,53,7,41,68,42.93589999999999,40.16242603550297,41.4365317919075,42.953416666666655
36074,49,73,54,81,20,86,15,16,3,9,38,50.436296296296284,46.056049382716054,49.86780821917808,50.0026530612245
36075,46,80,47,76,14,85,14,20,1,12,40,51.44297872340426,44.428026315789474,47.665124999999975,51.204130434782606
36076,69,128,63,121,29,141,17,19,3,15,67,48.203492063492064,42.47454545454547,45.47960937499999,42.2473913043478
36077,113,157,95,167,38,187,29,47,7,38,57,44.046,41.14383233532937,42.31885350318472,41.959115044247795
36078,93,153,121,130,12,65,12,39,0,7,74,72.88553719008259,65.30199999999998,65.77202614379087,66.60978494623656
37001,79,104,63,80,16,87,10,22,2,12,36,57.28809523809525,52.328125,52.6033653846154,53.1406329113924
37002,71,112,73,71,10,76,6,24,0,11,50,58.70082191780822,56.78436619718309,57.00285714285716,57.42084507042253
37003,68,101,66,61,8,81,4,22,0,8,41,56.38727272727274,57.30852459016392,55.88118811881186,56.845147058823535
37004,77,136,73,100,21,107,11,30,3,12,67,58.60575342465755,56.9964,57.37683823529409,57.104675324675306
37005,46,68,40,51,15,82,10,9,2,7,35,49.26475000000001,41.998039215686276,43.075882352941164,42.03760869565218
37006,37,54,37,45,13,63,5,13,2,8,26,48.43135135135135,47.54466666666667,48.516851851851875,49.78486486486488
37007,49,75,51,53,2,51,7,18,0,5,38,60.70784313725492,61.074905660377375,60.216800000000006,62.99346938775509
37008,60,116,88,77,8,70,9,28,0,11,64,56.889886363636386,53.43623376623378,60.73758620689655,61.35683333333334
37009,56,82,54,57,9,54,8,16,2,4,34,60.506481481481465,59.631754385964925,59.48560975609757,60.56410714285714
37010,49,96,59,68,11,54,10,21,0,5,51,61.585762711864405,59.689852941176454,61.529895833333306,64.13775510204081
37011,46,72,46,62,24,95,11,12,3,9,38,41.65239130434783,38.885161290322586,41.94333333333332,41.21826086956521
37012,73,134,113,84,10,86,9,28,0,8,72,61.19707964601771,62.4467857142857,61.72604477611942,59.77260273972601
37013,66,97,73,64,9,74,9,24,0,4,41,61.47219178082192,61.02828125,57.86474226804122,57.71954545454546
37014,98,131,110,93,22,103,10,39,4,16,58,59.09609090909093,58.51688172043012,58.81625954198474,57.124183673469396
37015,67,112,82,72,11,88,10,24,1,9,57,58.025243902439044,57.89333333333332,57.53910714285714,56.91328358208954
37016,76,115,94,78,7,77,12,33,0,9,51,60.328723404255335,61.65461538461537,60.906086956521754,60.535
37017,108,134,97,1,6,72,0,0,0,0,44,62.81278350515464,61.56,60.81649253731342,59.94527777777774
37018,82,148,81,139,25,154,21,34,4,24,78,47.72987654320988,46.87877697841727,47.38412162162164,44.2709756097561
37019,49,74,47,80,13,96,17,17,3,13,33,43.82127659574468,41.580875,41.90716216216217,42.92530612244897
37020,85,111,52,98,14,131,24,26,0,23,34,42.92307692307692,41.23632653061223,41.59252252252253,40.98858823529412
37021,139,173,113,152,13,152,14,54,2,32,60,54.17911504424781,51.585526315789494,51.82427745664742,51.16122302158275
37022,107,163,121,157,21,193,26,37,4,31,76,47.40363636363635,44.926050955414,45.799754601226994,43.660560747663546
37023,107,133,107,8,5,142,0,3,1,2,36,45.28579439252337,42.16125,43.90639097744358,43.99411214953272
37024,121,212,115,218,52,274,43,31,3,25,109,42.36617391304349,38.219082568807366,39.5018396226415,40.41537190082644
37025,11,9,3,13,1,13,4,3,0,1,3,60.07666666666666,52.78615384615385,54.24777777777777,56.18454545454544
37026,0,0,0,0,0,0,0,0,0,0,0,,,,
37075,55,102,58,97,11,121,17,23,2,17,51,44.66672413793105,43.32237113402061,43.18480392156863,41.88654545454544
37076,24,50,27,55,22,61,12,9,1,3,31,49.756296296296284,45.49272727272728,47.61699999999998,47.79041666666668
37078,109,164,117,155,19,191,26,42,3,35,68,48.41051282051279,44.34077419354838,45.25640243902438,45.01082568807339
37079,113,134,71,109,19,171,13,27,3,21,44,45.916478873239434,42.77807339449542,43.7002985074627,43.254424778761084
37080,71,107,66,115,31,144,24,19,0,15,51,44.43772727272728,41.04495652173913,42.330747663551385,41.69309859154928
