"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,
"Voters Registered as of February 1, 2019",,,,,,,,,,,,,
Kings  County,,,,,,,,,,,,,
,,,,,,,,,,,,,
COUNTY,ELECTION DIST,STATUS,DEM,REP,CON,WOR,GRE,LBT,IND,SAM,OTH,BLANK,TOTAL
Kings ,Kings 52041,Active,333,30,2,1,0,1,14,0,0,80,461
Kings ,Kings 52041,Inactive,56,2,0,1,0,0,6,0,0,16,81
Kings ,Kings 52041,Total,389,32,2,2,0,1,20,0,0,96,542
,,,,,,,,,,,,,
Kings ,Kings 52042,Active,744,92,1,3,2,0,31,0,0,211,"1,084"
Kings ,Kings 52042,Inactive,96,23,0,2,0,0,10,0,0,32,163
Kings ,Kings 52042,Total,840,115,1,5,2,0,41,0,0,243,"1,247"
,,,,,,,,,,,,,
Kings ,Kings 52043,Active,719,66,1,2,1,4,27,0,1,150,971
Kings ,Kings 52043,Inactive,99,9,0,0,0,0,4,0,0,24,136
Kings ,Kings 52043,Total,818,75,1,2,1,4,31,0,1,174,"1,107"
,,,,,,,,,,,,,
Kings ,Kings 52044,Active,643,71,0,6,2,0,20,0,0,157,899
Kings ,Kings 52044,Inactive,63,14,3,0,1,0,4,0,0,12,97
Kings ,Kings 52044,Total,706,85,3,6,3,0,24,0,0,169,996
,,,,,,,,,,,,,
Kings ,Kings 52045,Active,601,97,2,0,3,1,19,0,1,124,848
Kings ,Kings 52045,Inactive,74,15,0,1,0,0,9,0,0,36,135
Kings ,Kings 52045,Total,675,112,2,1,3,1,28,0,1,160,983
,,,,,,,,,,,,,
Kings ,Kings 52046,Active,721,65,0,2,3,0,23,0,0,190,"1,004"
Kings ,Kings 52046,Inactive,80,7,0,0,0,1,3,0,0,26,117
Kings ,Kings 52046,Total,801,72,0,2,3,1,26,0,0,216,"1,121"
,,,,,,,,,,,,,
Kings ,Kings 52047,Active,674,58,0,1,2,0,28,0,0,166,929
Kings ,Kings 52047,Inactive,63,12,0,0,0,0,4,0,0,29,108
Kings ,Kings 52047,Total,737,70,0,1,2,0,32,0,0,195,"1,037"
,,,,,,,,,,,,,
Kings ,Kings 52048,Active,611,34,0,2,1,1,22,0,0,129,800
Kings ,Kings 52048,Inactive,52,5,0,1,0,0,2,0,0,9,69
Kings ,Kings 52048,Total,663,39,0,3,1,1,24,0,0,138,869
,,,,,,,,,,,,,
Kings ,Kings 52049,Active,660,36,3,4,0,0,23,0,0,126,852
Kings ,Kings 52049,Inactive,99,6,1,0,0,0,3,0,0,23,132
Kings ,Kings 52049,Total,759,42,4,4,0,0,26,0,0,149,984
,,,,,,,,,,,,,
Kings ,Kings 52050,Active,485,36,2,6,1,0,9,0,0,81,620
Kings ,Kings 52050,Inactive,57,5,0,0,0,0,6,0,0,28,96
Kings ,Kings 52050,Total,542,41,2,6,1,0,15,0,0,109,716
,,,,,,,,,,,,,
Kings ,Kings 52051,Active,930,40,1,5,3,0,16,0,0,136,"1,131"
Kings ,Kings 52051,Inactive,89,7,0,0,1,0,0,0,0,13,110
Kings ,Kings 52051,Total,"1,019",47,1,5,4,0,16,0,0,149,"1,241"
,,,,,,,,,,,,,
Kings ,Kings 52052,Active,898,41,3,7,0,0,15,0,0,141,"1,105"
Kings ,Kings 52052,Inactive,94,4,0,0,0,0,1,0,0,16,115
Kings ,Kings 52052,Total,992,45,3,7,0,0,16,0,0,157,"1,220"
,,,,,,,,,,,,,
Kings ,Kings 52053,Active,699,29,1,2,1,0,13,0,1,105,851
Kings ,Kings 52053,Inactive,69,13,0,2,1,0,3,0,0,26,114
Kings ,Kings 52053,Total,768,42,1,4,2,0,16,0,1,131,965
,,,,,,,,,,,,,
Kings ,Kings 52054,Active,577,38,0,12,1,0,13,0,0,73,714
Kings ,Kings 52054,Inactive,61,1,0,0,1,0,1,0,1,6,71
Kings ,Kings 52054,Total,638,39,0,12,2,0,14,0,1,79,785
,,,,,,,,,,,,,
Kings ,Kings 52055,Active,682,33,1,4,6,0,24,0,1,145,896
Kings ,Kings 52055,Inactive,121,15,0,0,1,0,10,0,0,31,178
Kings ,Kings 52055,Total,803,48,1,4,7,0,34,0,1,176,"1,074"
,,,,,,,,,,,,,
Kings ,Kings 52056,Active,662,24,1,5,1,0,19,0,2,132,846
Kings ,Kings 52056,Inactive,88,12,1,1,0,0,4,0,0,27,133
Kings ,Kings 52056,Total,750,36,2,6,1,0,23,0,2,159,979
,,,,,,,,,,,,,
Kings ,Kings 52057,Active,616,41,0,6,1,1,18,0,2,135,820
Kings ,Kings 52057,Inactive,100,7,0,0,3,1,6,0,0,33,150
Kings ,Kings 52057,Total,716,48,0,6,4,2,24,0,2,168,970
,,,,,,,,,,,,,
Kings ,Kings 52058,Active,564,36,0,3,1,1,27,0,0,142,774
Kings ,Kings 52058,Inactive,99,8,0,1,1,0,4,0,0,37,150
Kings ,Kings 52058,Total,663,44,0,4,2,1,31,0,0,179,924
,,,,,,,,,,,,,
Kings ,Kings 52059,Active,822,39,1,6,5,2,24,0,0,154,"1,053"
Kings ,Kings 52059,Inactive,131,8,0,2,3,0,9,0,0,33,186
Kings ,Kings 52059,Total,953,47,1,8,8,2,33,0,0,187,"1,239"
,,,,,,,,,,,,,
Kings ,Kings 52060,Active,641,21,2,2,5,0,16,0,0,112,799
Kings ,Kings 52060,Inactive,68,6,0,0,0,0,5,0,0,15,94
Kings ,Kings 52060,Total,709,27,2,2,5,0,21,0,0,127,893
,,,,,,,,,,,,,
Kings ,Kings 52061,Active,676,23,3,1,7,0,18,0,0,116,844
Kings ,Kings 52061,Inactive,84,6,1,0,0,0,8,0,0,25,124
